jobid,expfile,m,n,k,node,cpu,duration
1960066,exp_dgemm_c.csv,5813,1031,223,8,0,0.09417491
1960066,exp_dgemm_c.csv,3385,663,3567,8,0,0.6146005
1960066,exp_dgemm_c.csv,88,5969,4435,8,0,0.2573919
1960066,exp_dgemm_c.csv,4359,2519,516,8,0,0.4119963
1960066,exp_dgemm_c.csv,887,4806,2189,8,0,0.6995861
1960066,exp_dgemm_c.csv,344,11201,1210,8,0,0.3592475
1960066,exp_dgemm_c.csv,411,2050,7121,8,0,0.4720897
1960066,exp_dgemm_c.csv,2967,6455,348,8,0,0.4734835
1960066,exp_dgemm_c.csv,565,179,3328,8,0,0.03016773
1960066,exp_dgemm_c.csv,3796,1679,1306,8,0,0.6366227
1960066,exp_dgemm_c.csv,13661,945,774,8,0,0.7614049
1960066,exp_dgemm_c.csv,1683,1276,3257,8,0,0.5383726
1960066,exp_dgemm_c.csv,780,1853,3463,8,0,0.383344
1960066,exp_dgemm_c.csv,3157,502,415,8,0,0.04978421
1960066,exp_dgemm_c.csv,11674,606,1367,8,0,0.7436513000000001
1960066,exp_dgemm_c.csv,3199,614,1186,8,0,0.18186739999999998
1960066,exp_dgemm_c.csv,1291,6702,733,8,0,0.48356190000000004
1960066,exp_dgemm_c.csv,2025,101,1646,8,0,0.03184154
1960066,exp_dgemm_c.csv,1031,5813,223,8,0,0.1031559
1960066,exp_dgemm_c.csv,1393,4234,1470,8,0,0.6654908
1960066,exp_dgemm_c.csv,2019,2303,2149,8,0,0.7666103
1960066,exp_dgemm_c.csv,3440,794,978,8,0,0.20588330000000002
1960066,exp_dgemm_c.csv,1074,1840,2702,8,0,0.41326199999999996
1960066,exp_dgemm_c.csv,1306,1679,3796,8,0,0.6176696999999999
1960066,exp_dgemm_c.csv,1918,12401,350,8,0,0.6025202
1960066,exp_dgemm_c.csv,5486,1373,1284,8,0,0.7409859000000001
1960066,exp_dgemm_c.csv,9281,114,6924,8,0,0.6841174
